Reference,Part,LCSC code,Status,Source
AE1,RFANT5220110A0T,C127611,Part number verified; 3D availability unchecked,https://www.lcsc.com/product-detail/C127611.html
J1,FPC-05F-18PH20,C2856802,Part number verified; 3D availability unchecked,https://www.lcsc.com/product-image/C2856802.html
J2,TYPE-C-31-M-12,C165948,Part number verified; 3D availability unchecked,https://jlcpcb.com/partdetail/C165948
J3,1.0-2P WT,C2906268,Part number verified; 3D availability unchecked,https://item.szlcsc.com/3178978.html
U3,SC7A20TR,C5126709,Part number verified; 3D availability unchecked,https://www.lcsc.com/product-detail/C5126709.html
U5,TP4056-MS,C7473158,Part number verified; 3D availability unchecked,https://item.szlcsc.com/8533532.html
U6,SGM62117XTGH10G/TR,C5152031,Verified on JLCPCB; 3D availability unchecked,https://jlcpcb.com/partdetail/SGMICRO-SGM62117XTGH10GTR/C5152031
Y1,TAXM40M4ZHBCDT2T,C424432,Part number verified; 3D availability unchecked,https://item.szlcsc.com/417823.html
SW1,JS102011SAQN,C221660,Part number verified; 3D availability unchecked,https://item.szlcsc.com/222090.html
SW2/SW3,SKRTLBE010,C127481,Part number verified; import once,https://www.lcsc.com/product-detail/Tactile-Switches_ALPS-Electric-SKRTLBE010_C127481.html
L3,744383560047HT,,No verified LCSC code found; do not substitute a similar part,
