"Reference","Value","MPN","LCSC","Footprint","DNP","Datasheet"
"AE1","RFANT5220110A0T","RFANT5220110A0T","C127611","JXBadge:RFANT5220110A0T_C127611","","datasheets/RFANT5220110A0T.pdf"
"C1","24p 50V C0G","0603CG240J500NT","C1654","JXBadge:0603CG240J500NT_C1654","",""
"C2","24p 50V C0G","0603CG240J500NT","C1654","JXBadge:0603CG240J500NT_C1654","",""
"C3","10u 10V X5R","CL10A106KP8NNNC","C19702","JXBadge:CL10A106KP8NNNC_C19702","","https://product.samsungsem.com/mlcc/CL10A106KP8NNN.do"
"C4","1u 25V X7R","CL10B105KA8NNNC","C29936","JXBadge:CL10B105KA8NNNC_C29936","",""
"C5","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C6","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C7","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C8","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C9","1u 25V X7R","CL10B105KA8NNNC","C29936","JXBadge:CL10B105KA8NNNC_C29936","",""
"C10","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C11","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C12","DNP RF tune","DNP RF tune","","Capacitor_SMD:C_0201_0603Metric","不作装配 (DNP)",""
"C13","DNP RF tune","DNP RF tune","","Capacitor_SMD:C_0201_0603Metric","不作装配 (DNP)",""
"C14","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C15","1u 25V X7R","CL10B105KA8NNNC","C29936","JXBadge:CL10B105KA8NNNC_C29936","",""
"C16","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C17","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C18","1u 25V X7R","CL10B105KA8NNNC","C29936","JXBadge:CL10B105KA8NNNC_C29936","",""
"C19","10u 10V X5R","CL10A106KP8NNNC","C19702","JXBadge:CL10A106KP8NNNC_C19702","",""
"C20","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C21","10u 10V X5R","CL10A106KP8NNNC","C19702","JXBadge:CL10A106KP8NNNC_C19702","",""
"C22","10u 25V X5R","CL21A106KAYNNNE","C15850","JXBadge:CL21A106KAYNNNE_C15850","",""
"C23","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C24","22u 6.3V X5R","CL10A226MQ8NRNC","C59461","JXBadge:CL10A226MQ8NRNC_C59461","",""
"C25","22u 6.3V X5R","CL10A226MQ8NRNC","C59461","JXBadge:CL10A226MQ8NRNC_C59461","",""
"C26","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C27","1u 25V X7R","CL10B105KA8NNNC","C29936","JXBadge:CL10B105KA8NNNC_C29936","",""
"C28","100n 50V X7R","CC0603KRX7R9BB104","C14663","JXBadge:CC0603KRX7R9BB104_C14663","",""
"C29","10u 25V X5R","CL21A106KAYNNNE","C15850","JXBadge:CL21A106KAYNNNE_C15850","",""
"D1","SMF5.0A","SMF5.0A","C151296","JXBadge:SMF5_0A_C151296","","datasheets/SMF-Littelfuse.pdf"
"D2","DSK34","DSK34","C727076","JXBadge:DSK34_C727076_C727076","","datasheets/DSK34.pdf"
"D3","CHARGE red","KT-0603R","C2286","JXBadge:KT-0603R_C2286","",""
"D4","FULL green","19-217/GHC-YR1S2/3T","C72043","JXBadge:19-217_GHC-YR1S2_3T_C72043","",""
"FB1","600R@100MHz >=500mA","BLM18AG601SN1D","C19330","JXBadge:BLM18AG601SN1D_C19330","",""
"J1","W180TE010I-18Z(CTP-A1)","FPC-05F-18PH20","C2856802","JXBadge:FPC-05F-18PH20_C2856802","","datasheets/FPC-05F-18PH20-repaired.pdf"
"J2","TYPE-C-31-M-12","TYPE-C-31-M-12","C165948","JXBadge:TYPE-C-31-M-12_C165948","","datasheets/TYPE-C-31-M-12.pdf"
"J3","1.0-2P WT","1.0-2P WT","C2906268","JXBadge:1_0-2P_WT_C2906268","","datasheets/C2906268_SH1.0_2P_WT.pdf"
"L1","24nH","LQG15WZ24NH02D","C1012734","JXBadge:LQG15WZ24NH02D_C1012734","",""
"L2","2nH RF tune","LQP03TN2N0B02D","C86125","JXBadge:LQP03TN2N0B02D_C86125","",""
"L3","0.47uH Isat=4.8A","DFE201610E-R47M=P2","C269773","JXBadge:DFE201610E-R47M_P2_C269773","","datasheets/DFE201610E-R47M.pdf"
"Q1","AO3401A","AO3401A","C15127","JXBadge:AO3401A_C15127","","datasheets/AO3401A.pdf"
"Q2","MMBT3904","MMBT3904,215","C426835","JXBadge:MMBT3904_215_C426835","","datasheets/MMBT3904.pdf"
"Q3","AO3401A","AO3401A","C15127","JXBadge:AO3401A_C15127","","datasheets/AO3401A.pdf"
"Q4","AO3401A","AO3401A","C15127","JXBadge:AO3401A_C15127","","datasheets/AO3401A.pdf"
"Q5","MMBT3904","MMBT3904,215","C426835","JXBadge:MMBT3904_215_C426835","","datasheets/MMBT3904.pdf"
"Q6","MMBT3904","MMBT3904,215","C426835","JXBadge:MMBT3904_215_C426835","","datasheets/MMBT3904.pdf"
"Q7","MMBT3904","MMBT3904,215","C426835","JXBadge:MMBT3904_215_C426835","","datasheets/MMBT3904.pdf"
"R1","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R2","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R3","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R4","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R5","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R6","0","0603WAF0000T5E","C21189","JXBadge:0603WAF0000T5E_C21189","",""
"R7","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R8","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R9","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R10","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R11","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R12","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R13","5.1","0603WAF510KT5E","C25197","JXBadge:0603WAF510KT5E_C25197","",""
"R14","4.7k","0603WAF4701T5E","C23162","JXBadge:0603WAF4701T5E_C23162","",""
"R15","4.7k","0603WAF4701T5E","C23162","JXBadge:0603WAF4701T5E_C23162","",""
"R16","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R17","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R18","5.1k","0603WAF5101T5E","C23186","JXBadge:0603WAF5101T5E_C23186","",""
"R19","5.1k","0603WAF5101T5E","C23186","JXBadge:0603WAF5101T5E_C23186","",""
"R20","22","0603WAF220JT5E","C23345","JXBadge:0603WAF220JT5E_C23345","",""
"R21","22","0603WAF220JT5E","C23345","JXBadge:0603WAF220JT5E_C23345","",""
"R22","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R23","4.02k 1%","0603WAF4021T5E","C23040","JXBadge:0603WAF4021T5E_C23040_C23040","",""
"R26","560k 1%","0603WAF5603T5E","C23203","JXBadge:0603WAF5603T5E_C23203","",""
"R27","100k 1%","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R28","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R29","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R30","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R31","2.2k","0603WAF2201T5E","C4190","JXBadge:0603WAF2201T5E_C4190","",""
"R32","2.2k","0603WAF2201T5E","C4190","JXBadge:0603WAF2201T5E_C4190","",""
"R33","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R34","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R35","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R36","200k 1%","0603WAF2003T5E","C25811","JXBadge:0603WAF2003T5E_C25811","",""
"R37","100k 1%","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"R38","47k","0603WAF4702T5E","C25819","JXBadge:0603WAF4702T5E_C25819","",""
"R39","47k","0603WAF4702T5E","C25819","JXBadge:0603WAF4702T5E_C25819","",""
"R40","10k","0603WAF1002T5E","C25804","JXBadge:0603WAF1002T5E_C25804","",""
"R41","100k","0603WAF1003T5E","C25803","JXBadge:0603WAF1003T5E_C25803","",""
"SW1","POWER","JS102011SAQN","C221660","JXBadge:JS102011SAQN_C221660","",""
"SW2","BOOT","HX-2X4X3.5CA-2.5N","C49234137","JXBadge:HX-2X4X3_5CA-2_5N_C49234137","","datasheets/HX-2X4X3.5CA-2.5N.pdf"
"SW3","RESET","HX-2X4X3.5CA-2.5N","C49234137","JXBadge:HX-2X4X3_5CA-2_5N_C49234137","","datasheets/HX-2X4X3.5CA-2.5N.pdf"
"U1","ESP32-S3R8","ESP32-S3R8","C2913194","JXBadge:ESP32-S3_R8__C2913194","","../CDA236FFCB3F25B7D5220D2CA9867287.pdf"
"U2","W25Q128JVSIQ","W25Q128JVSIQ","C97521","JXBadge:W25Q128JVSIQTR_C97521","","datasheets/W25Q128JV.pdf"
"U3","SC7A20TR","SC7A20TR","C5126709","JXBadge:SC7A20TR_C5126709_C5126709","","datasheets/SC7A20.pdf"
"U4","USBLC6-2SC6","USBLC6-2SC6","C7519","JXBadge:USBLC6-2SC6_C7519","","datasheets/USBLC6-2SC6.pdf"
"U5","TP4056-MS","TP4056-MS","C7473158","JXBadge:TP4056-MS_C7473158","","datasheets/TP4056-MS.pdf"
"U6","SGM62117XTGH10G/TR","SGM62117XTGH10G/TR","C5152031","JXBadge:SGM62117XTGH10G_TR_C5152031","","datasheets/SGM62117.pdf"
"Y1","40MHz CL15pF","TAXM40M4ZHBCDT2T","C424432","JXBadge:TAXM40M4ZHBCDT2T_C424432","","datasheets/TAXM40M4ZHBCDT2T.pdf"
